form,lemma,POS,morph
Postquam,postquam,CONsub,MORPH=empty
conspicuo,conspicuus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
longinqua,longinquus,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
in,in,PRE,MORPH=empty
deuia,deuius,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
templo,templum,NOMcom,Case=Abl|Numb=Sing
Extrema,exter,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Sup
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
inposta,impono,VER,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
manus,manus1,NOMcom,Case=Nom|Numb=Sing
mox,mox,ADV,Deg=Pos
cura,cura,NOMcom,Case=Nom|Numb=Sing
sacrorum,sacrum,NOMcom,Case=Gen|Numb=Plur
Vatibus,uates,NOMcom,Case=Dat|Numb=Plur
incubuit,incumbo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
quo,quis1,PROint,Case=Abl|Numb=Sing|Gend=MascNeut
ritu,ritus,NOMcom,Case=Abl|Numb=Sing
quaeque,qui,PROind,Case=Nom|Numb=Plur|Gend=Fem
{quaeque},que,CON,MORPH=empty
litarent,lito,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
Hostia,hostia,NOMcom,Case=Nom|Numb=Sing
peccatum,peccatum,NOMcom,Case=Acc|Numb=Sing
demeret,demo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
quae,quis1,PROrel,Case=Nom|Numb=Sing|Gend=Fem
quaeue,quis,PROint,Case=Nom|Numb=Sing|Gend=Fem
{quaeue},ue,CON,MORPH=empty
salutem,salus,NOMcom,Case=Acc|Numb=Sing
Caesa,caedo,NOMpro,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
daret,do,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
quae,quis1,PROrel,Case=Acc|Numb=Plur|Gend=Neut
dona,donum,NOMcom,Case=Acc|Numb=Plur
potens,potens,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
quae,quis1,PROrel,Case=Acc|Numb=Plur|Gend=Neut
pauper,pauper,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
ad,ad2,PRE,MORPH=empty
aram,ara,NOMcom,Case=Acc|Numb=Sing
Poneret,pono,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
et,et2,CONcoo,MORPH=empty
geminus,geminus,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
quae,quis1,PROrel,Case=Acc|Numb=Plur|Gend=Neut
ferret,fero,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
commoda,commodus,ADJqua,Case=Acc|Numb=Plur
turtur,turtur,NOMcom,Case=Nom|Numb=Sing
Quaeue,quis,PROrel,Case=Nom|Numb=Sing|Gend=Fem
{Quaeue},ue,CON,MORPH=empty
columba,columba,NOMcom,Case=Abl|Numb=Sing
pari,par2,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
sociata,socio,VER,Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
et,et2,CONcoo,MORPH=empty
iuncta,iungo,VER,Case=Nom|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
columbae,columba,NOMcom,Case=Gen|Numb=Sing
Sed,sed,CONcoo,MORPH=empty
mirum,mirus,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
pecudum,pecus2,NOMcom,Case=Gen|Numb=Plur
caesarum,caedo,VER,Case=Gen|Numb=Plur|Gend=Fem
uiscera,uiscus2,NOMcom,Case=Acc|Numb=Plur
raptim,raptim,ADV,Deg=Pos
Ignis,ignis,NOMcom,Case=Gen|Numb=Sing
edax,edax,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
celso,celsus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
rapiebat,rapio,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
sidere,sidus,NOMcom,Case=Abl|Numb=Sing
missus,mitto,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
Interea,interea,ADV,Deg=Pos
iuuenes,iuuenis1,NOMcom,Case=Nom|Numb=Plur
uegeti,uegetus,ADJqua,Case=Nom|Numb=Plur|Gend=Masc|Deg=Pos
iam,iam,ADV,Deg=Pos
fortibus,fortis,ADJqua,Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
annis,annus,NOMcom,Case=Abl|Numb=Plur
Esse,sum1,VER,Mood=Inf|Tense=Pres|Voice=Act
sibi,sui1,PROref,Case=Dat|Numb=Sing
licitum,licet1,VER,Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
stolido,stolidus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
dum,dum2,CONsub,MORPH=empty
pectore,pectus,NOMcom,Case=Abl|Numb=Sing
credunt,credo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Nabdus,Nabdus,NOMpro,Case=Nom|Numb=Sing
et,et2,CONcoo,MORPH=empty
Abiudus,Abiudus,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Aronis,Aron,ADJqua,Case=Nom|Numb=Sing
nota,notus2,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
prophetae,propheta,NOMcom,Case=Nom|Numb=Plur
Pignora,pignus,NOMcom,Case=Acc|Numb=Plur
sacrilegis,sacrilegus2,ADJqua,Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
accendunt,accendo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ritibus,ritis,NOMcom,Case=Abl|Numb=Plur
ignem,ignis,NOMcom,Case=Acc|Numb=Sing
Haut,haud,ADVneg,MORPH=empty
multum,multum2,ADV,Deg=Pos
dilata,differo,VER,Case=Abl|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
nece,nex,NOMcom,Case=Abl|Numb=Sing
nam,nam,CONcoo,MORPH=empty
fulgur,fulgur,NOMcom,Case=Acc|Numb=Sing
ab,ab,PRE,MORPH=empty
axe,axis,NOMcom,Case=Abl|Numb=Sing
Emicuit,emico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
supero,superus,NOMcom,Case=Abl|Numb=Sing|Deg=Pos
atque,atque1,CONcoo,MORPH=empty
inter,inter,PRE,MORPH=empty
uota,uotum,NOMcom,Case=Acc|Numb=Plur
necauit,neco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Non,non,ADVneg,MORPH=empty
sincera,sincerus,ADJqua,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
uiros,uir,NOMcom,Case=Acc|Numb=Plur
multum,multum2,ADV,Deg=Pos
genitore,genitor,NOMcom,Case=Abl|Numb=Sing
maerente,maereo,VER,Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
Frigentumque,frigentum,NOMpro,Case=Gen|Numb=Sing|Deg=Pos|Mood=Par|Tense=Pres|Voice=Act
{Frigentumque},que,CON,MORPH=empty
dehinc,dehinc,ADV,Deg=Pos
tumulantur,tumulo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
membra,membrum,NOMcom,Case=Nom|Numb=Plur
sepulchro,sepulcrum,NOMcom,Case=Abl|Numb=Sing
Mox,mox,ADV,Deg=Pos
tamen,tamen,ADV,Deg=Pos
abstinuit,abstineo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
genitor,genitor,NOMcom,Case=Nom|Numb=Sing
lugere,lugeo,VER,Mood=Inf|Tense=Pres|Voice=Act
sepultos,sepelio,VER,Case=Acc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
Germanique,Germanus,NOMpro,Case=Gen|Numb=Plur
{Germanique},que,CON,MORPH=empty
omnes,omnis,PROind,Case=Nom|Numb=Plur|Gend=MascFem
fletum,fletus,NOMcom,Case=Acc|Numb=Sing
prohibente,prohibeo,VER,Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
propheta,propheta,NOMcom,Case=Abl|Numb=Sing
Qui,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Masc
populo,populus1,NOMcom,Case=Dat|Numb=Sing
permissus,permitto,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
erat,sum1,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
namque,namque,CONcoo,MORPH=empty
igneus,igneus,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
ardor,ardor,NOMcom,Case=Nom|Numb=Sing
Caelesti,caelestis,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
