form,lemma,POS,morph
Vocavit,uoco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
autem,autem,CONcoo,MORPH=empty
Moysen,Moyses,NOMpro,Case=Acc|Numb=Sing
et,et2,CONcoo,MORPH=empty
locutus,loquor,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ei,is,PROdem,Case=Dat|Numb=Sing|Gend=Masc
Dominus,dominus,NOMcom,Case=Nom|Numb=Sing
de,de,PRE,MORPH=empty
tabernaculo,tabernaculum,NOMcom,Case=Abl|Numb=Sing
testimonii,testimonium,NOMcom,Case=Gen|Numb=Sing
dicens,dico2,VER,Case=Nom|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
Loquere,loquor,VER,Mood=Imp|Tense=Pres|Voice=Pass|Person=2
filiis,filius,NOMcom,Case=Dat|Numb=Plur
Israel,Israel,NOMpro,Case=Ind
et,et2,CONcoo,MORPH=empty
dices,dico2,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
ad,ad2,PRE,MORPH=empty
eos,is,PROdem,Case=Acc|Numb=Plur|Gend=Masc
Homo,homo,NOMcom,Case=Nom|Numb=Sing
qui,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Masc
obtulerit,offero,VER,Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3
ex,ex,PRE,MORPH=empty
vobis,uos,PROper,Case=Abl|Numb=Plur
hostiam,hostia,NOMcom,Case=Acc|Numb=Sing
Domino,dominus,NOMcom,Case=Dat|Numb=Sing
de,de,PRE,MORPH=empty
pecoribus,pecus1,NOMcom,Case=Abl|Numb=Plur
id,is,PROdem,Case=Nom|Numb=Sing|Gend=Neut
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
de,de,PRE,MORPH=empty
bobus,bos,NOMcom,Case=Abl|Numb=Plur
et,et2,CONcoo,MORPH=empty
ovibus,ouis,NOMcom,Case=Abl|Numb=Plur
offerens,offero,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
victimas,uictima,NOMcom,Case=Acc|Numb=Plur
si,si2,CONsub,MORPH=empty
holocaustum,holocaustum,NOMcom,Case=Nom|Numb=Sing|Gend=Neut
fuerit,sum1,VER,Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3
ejus,is,PROdem,Case=Gen|Numb=Sing|Gend=Com
oblatio,oblatio,NOMcom,Case=Nom|Numb=Sing
ac,atque1,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
armento,armentum,NOMcom,Case=Abl|Numb=Sing
masculum,masculus,ADJqua,Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
immaculatum,immaculatus,VER,Case=Acc|Numb=Sing|Gend=MascNeut
offeret,offero,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
ad,ad2,PRE,MORPH=empty
ostium,ostium,NOMcom,Case=Acc|Numb=Sing
tabernaculi,tabernaculum,NOMcom,Case=Gen|Numb=Sing
testimonii,testimonium,NOMcom,Case=Gen|Numb=Sing
ad,ad2,PRE,Deg=Pos
placandum,placo,VER,Case=Acc|Numb=Sing|Mood=Ger|Voice=Act
sibi,sui1,PROref,Case=Dat|Numb=Sing
Dominum,dominus,NOMcom,Case=Acc|Numb=Sing
ponetque,pono,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
{ponetque},que,CON,MORPH=empty
manum,manus1,NOMcom,Case=Acc|Numb=Sing
super,super2,PRE,MORPH=empty
caput,caput,NOMcom,Case=Acc|Numb=Sing
hostiae,hostia,NOMcom,Case=Gen|Numb=Sing
et,et2,CONcoo,MORPH=empty
acceptabilis,acceptabilis,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
erit,sum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
atque,atque1,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
expiationem,expiatio,NOMcom,Case=Acc|Numb=Sing
ejus,is,PROdem,Case=Gen|Numb=Sing|Gend=Masc
proficiens,proficio,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
Immolabitque,immolo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
{Immolabitque},que,CON,MORPH=empty
vitulum,uitulus,NOMcom,Case=Acc|Numb=Sing
coram,coram2,PRE,MORPH=empty
Domino,dominus,NOMcom,Case=Abl|Numb=Sing
et,et2,CONcoo,MORPH=empty
offerent,offero,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=3
filii,filius,NOMcom,Case=Nom|Numb=Plur
Aaron,Aaron,NOMpro,Case=Ind|Numb=Sing
sacerdotes,sacerdos,NOMcom,Case=Nom|Numb=Plur
sanguinem,sanguis,NOMcom,Case=Acc|Numb=Sing
ejus,is,PROdem,Case=Gen|Numb=Sing|Gend=Com
fundentes,fundo2,VER,Case=Nom|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
per,per,PRE,MORPH=empty
altaris,altare,NOMcom,Case=Acc|Numb=Plur
circuitum,circuitus,NOMcom,Case=Acc|Numb=Sing
quod,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Neut
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ante,ante2,PRE,MORPH=empty
ostium,ostium,NOMcom,Case=Acc|Numb=Sing
tabernaculi,tabernaculum,NOMcom,Case=Gen|Numb=Sing
detractaque,detraho,VER,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
{detractaque},que,CON,MORPH=empty
pelle,pellis,NOMcom,Case=Abl|Numb=Sing
hostiae,hostia,NOMcom,Case=Gen|Numb=Sing
artus,artus1,NOMcom,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
frusta,frustum,NOMcom,Case=Acc|Numb=Plur
concident,concido1,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=3
Et,et2,CONcoo,MORPH=empty
subjicient,subicio,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=3
in,in,PRE,MORPH=empty
altari,altare,NOMcom,Case=Abl|Numb=Sing
ignem,ignis,NOMcom,Case=Acc|Numb=Sing
strue,strues,NOMcom,Case=Abl|Numb=Sing
lignorum,lignum,NOMcom,Case=Gen|Numb=Plur
ante,ante1,ADV,MORPH=empty
composita,compositus,VER,Case=Acc|Numb=Plur|Gend=Neut
et,et2,CONcoo,MORPH=empty
membra,membrum,NOMcom,Case=Acc|Numb=Plur
quae,qui1,PROrel,Case=Nom|Numb=Plur|Gend=Neut
sunt,sum1,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
caesa,caedo,VER,Case=Nom|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
desuper,desuper,ADV,Deg=Pos
ordinantes,ordino,VER,Case=Nom|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
caput,caput,NOMcom,Case=Acc|Numb=Sing
videlicet,uidelicet,ADV,Deg=Pos
et,et2,CONcoo,MORPH=empty
cuncta,cunctus,ADJqua,Case=Nom|Numb=Plur|Gend=Neut|Deg=Pos
quae,qui1,PROrel,Case=Nom|Numb=Plur|Gend=Neut
adhaerent,adhaereo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
jecori,iecurus,NOMcom,Case=Dat|Numb=Sing
intestinis,intestinus,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
et,et2,CONcoo,MORPH=empty
pedibus,pes,NOMcom,Case=Abl|Numb=Plur
lotis,lauo2,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
aqua,aqua,NOMcom,Case=Abl|Numb=Sing
adolebitque,adoleo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
{adolebitque},que,CON,MORPH=empty
